my_index;date_taken;id;link_obj
1099;um 1960/1970;http://www.bildindex.de/bilder/d/fm1351236;http://www.bildindex.de/document/obj20269773
1100;um 1960/1970;http://www.bildindex.de/bilder/d/fm1351237;http://www.bildindex.de/document/obj20269773
1115;um 1960/1965;http://www.bildindex.de/bilder/d/fm1351261;http://www.bildindex.de/document/obj20269773
1124;1964/1966;http://www.bildindex.de/bilder/d/fm1351292;http://www.bildindex.de/document/obj20269511
1130;1968;http://www.bildindex.de/bilder/d/fm1351298;http://www.bildindex.de/document/obj20192347
1131;1968;http://www.bildindex.de/bilder/d/fm1351299;http://www.bildindex.de/document/obj20269511
1132;1968;http://www.bildindex.de/bilder/d/fm1351300;http://www.bildindex.de/document/obj20269511
1133;1968;http://www.bildindex.de/bilder/d/fm1351301;http://www.bildindex.de/document/obj20269511
1134;1968;http://www.bildindex.de/bilder/d/fm1351302;http://www.bildindex.de/document/obj20269511
1135;1968;http://www.bildindex.de/bilder/d/fm1351303;http://www.bildindex.de/document/obj20269511
1136;1968;http://www.bildindex.de/bilder/d/fm1351304;http://www.bildindex.de/document/obj20269511
1137;1968;http://www.bildindex.de/bilder/d/fm1351305;http://www.bildindex.de/document/obj20269511
1138;1968;http://www.bildindex.de/bilder/d/fm1351306;http://www.bildindex.de/document/obj20269511
1139;1968;http://www.bildindex.de/bilder/d/fm1351307;http://www.bildindex.de/document/obj20269511
1140;1968;http://www.bildindex.de/bilder/d/fm1351308;http://www.bildindex.de/document/obj20269511
1141;1968;http://www.bildindex.de/bilder/d/fm1351309;http://www.bildindex.de/document/obj20269511
1142;1968;http://www.bildindex.de/bilder/d/fm1351310;http://www.bildindex.de/document/obj20269511
1143;1968;http://www.bildindex.de/bilder/d/fm1351311;http://www.bildindex.de/document/obj20269511
1144;1968;http://www.bildindex.de/bilder/d/fm1351312;http://www.bildindex.de/document/obj20269511
1149;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351317;http://www.bildindex.de/document/obj20269725
1163;nach 1966;http://www.bildindex.de/bilder/d/fm1351337;http://www.bildindex.de/document/obj20192347
1164;nach 1966;http://www.bildindex.de/bilder/d/fm1351338;http://www.bildindex.de/document/obj20192347
